,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
953,0,0,0,0,0,0,1,0,0,0,0,1,3,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0
954,0,0,0,0,0,0,0,0,0,3,0,2,1,0,2,0,3,4,0,1,1,0,0,0,0,0,0,0
955,0,0,0,0,0,0,0,0,0,3,0,3,5,0,1,0,3,7,0,3,0,0,0,0,0,0,0,0
956,0,0,0,0,0,0,0,0,0,2,0,1,3,0,3,0,3,3,0,1,2,0,0,0,0,0,0,0
957,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0
958,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0
959,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,0,2,2,0,0,1,1,0,0,0,0,0,0
960,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,1,3,1,0,0,0,1,0,0,0,0,0,0
961,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0
962,0,0,0,0,0,1,0,0,0,2,0,3,7,0,6,0,3,4,0,0,2,2,0,0,0,0,0,0
963,0,0,0,0,0,0,0,0,0,2,0,7,8,0,2,0,3,6,0,1,0,1,0,1,0,0,0,0
964,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0
965,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0
966,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0
967,0,0,0,0,0,0,1,0,0,3,0,3,8,0,4,0,5,6,0,1,1,1,0,0,0,0,0,0
968,0,0,0,0,0,0,0,0,0,2,0,5,5,0,10,0,2,5,0,1,0,0,0,1,0,0,0,0
969,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0
970,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,2,4,0,0,0,1,0,0,0,0,0,0
971,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0
972,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
973,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
974,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0
985,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
986,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0
987,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0
988,0,0,0,0,0,0,0,0,0,0,0,3,7,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
990,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,0,1,2,0,0,0,1,0,0,0,0,0,0
991,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,0,4,2,0,0,0,1,0,0,0,0,0,0
993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
1008,0,0,0,1,0,0,0,0,0,2,0,1,3,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0
1009,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,1,0,0,2,0,1,3,0,2,0,2,1,0,0,0,2,0,0,0,0,0,0
1011,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
1012,0,0,0,0,0,0,1,0,0,2,0,0,4,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0
1013,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0
1014,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
1015,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
1016,0,0,0,1,0,0,0,0,0,3,0,1,1,0,1,0,2,2,0,0,0,1,0,0,1,0,0,0
1017,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
1018,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1019,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
1020,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0
1021,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1022,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1023,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
1024,0,0,0,0,0,0,0,0,0,3,0,2,5,0,0,1,3,2,0,1,1,1,0,0,0,0,0,0
1025,0,0,0,0,0,1,0,0,0,1,0,1,3,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0
1026,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1027,0,0,0,0,0,0,1,0,0,1,0,0,3,1,2,1,6,1,0,0,0,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0
1052,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0
1053,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,1,1,0,0,1,1,0,0,0,0,0,0
1054,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0
1055,0,0,0,0,0,0,1,0,0,0,0,2,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0
1056,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0
1057,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
1058,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0
1059,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0
1060,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0
1061,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1062,0,0,0,1,0,0,0,0,0,1,0,2,1,0,3,0,0,2,0,0,1,0,0,0,1,0,0,0
1063,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
1064,0,0,0,0,0,0,0,0,0,1,0,4,2,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0
1065,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0
1066,0,0,0,0,0,0,1,0,0,0,0,3,1,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0
1067,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
1068,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0
1069,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
